docID,edinetCode,secCode,filerName,formCode,submitDateTime,docTypeCode,submitDateTime,docDescription,pdfFlag,csvFlag
S100TMQY,E01657,63450,株式会社アイチコーポレーション,030000,2024-06-17 14:16:00,120.0,2024-06-17 14:16:00,有価証券報告書－第76期(2023/04/01－2024/03/31),1,1
S100TMKR,E05037,47260,ＳＢテクノロジー株式会社,030000,2024-06-17 15:00:00,120.0,2024-06-17 15:00:00,有価証券報告書－第36期(2023/04/01－2024/03/31),1,1
S100TM1W,E01967,68610,株式会社キーエンス,030000,2024-06-17 15:01:00,120.0,2024-06-17 15:01:00,有価証券報告書－第55期(2023/03/21－2024/03/20),1,1
S100TM4A,E05000,46890,ＬＩＮＥヤフー株式会社,030000,2024-06-17 15:05:00,120.0,2024-06-17 15:05:00,有価証券報告書－第29期(2023/04/01－2024/03/31),1,1
S100TLVV,E00984,45680,第一三共株式会社,030000,2024-06-17 15:11:00,120.0,2024-06-17 15:11:00,有価証券報告書－第19期(2023/04/01－2024/03/31),1,1
S100TMA8,E04228,90290,株式会社ヒガシトゥエンティワン,030000,2024-06-17 15:15:00,120.0,2024-06-17 15:15:00,有価証券報告書－第102期(2023/04/01－2024/03/31),1,1
S100TMN5,E01108,72820,豊田合成株式会社,030000,2024-06-17 15:16:00,120.0,2024-06-17 15:16:00,有価証券報告書－第101期(2023/04/01－2024/03/31),1,1
S100TMXI,E35516,44980,サイバートラスト株式会社,030000,2024-06-17 15:30:00,120.0,2024-06-17 15:30:00,有価証券報告書－第24期(2023/04/01－2024/03/31),1,1
S100TMKM,E03807,86280,松井証券株式会社,030000,2024-06-17 15:30:00,120.0,2024-06-17 15:30:00,有価証券報告書－第108期(2023/04/01－2024/03/31),1,1
S100TMNK,E31612,71800,株式会社九州フィナンシャルグループ,030000,2024-06-17 15:47:00,120.0,2024-06-17 15:47:00,有価証券報告書－第9期(2023/04/01－2024/03/31),1,1
S100TMCR,E05221,43100,株式会社ドリームインキュベータ,030000,2024-06-17 15:53:00,120.0,2024-06-17 15:53:00,有価証券報告書－第24期(2023/04/01－2024/03/31),1,1
S100TN0Z,E01074,81310,株式会社ミツウロコグループホールディングス,030000,2024-06-18 10:10:00,120.0,2024-06-18 10:10:00,有価証券報告書－第115期(2023/04/01－2024/03/31),1,1
S100TLVE,E01532,63010,株式会社小松製作所,030000,2024-06-18 10:45:00,120.0,2024-06-18 10:45:00,有価証券報告書－第155期(2023/04/01－2024/03/31),1,1
