項目名,回数,総ファイル数,登場率,コンテキストIDリスト,コンテキストID数,値のタイプリスト
自己資本利益率、経営指標等,4042,4042,100,"['CurrentYearDuration', 'CurrentYearDuration_NonConsolidatedMember', 'Prior1YearDuration', 'Prior1YearDuration_NonConsolidatedMember', 'Prior2YearDuration', 'Prior2YearDuration_NonConsolidatedMember', 'Prior3YearDuration', 'Prior3YearDuration_NonConsolidatedMember', 'Prior4YearDuration', 'Prior4YearDuration_NonConsolidatedMember', 'Prior5YearDuration', 'Prior5YearDuration_NonConsolidatedMember']",12,"['数字', '文字列']"
株価収益率、経営指標等,4042,4042,100,"['CurrentYearDuration', 'CurrentYearDuration_NonConsolidatedMember', 'Prior1YearDuration', 'Prior1YearDuration_NonConsolidatedMember', 'Prior2YearDuration', 'Prior2YearDuration_NonConsolidatedMember', 'Prior3YearDuration', 'Prior3YearDuration_NonConsolidatedMember', 'Prior4YearDuration', 'Prior4YearDuration_NonConsolidatedMember', 'Prior5YearDuration', 'Prior5YearDuration_NonConsolidatedMember']",12,"['数字', '文字列']"
株主数－外国法人等－個人以外,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
株主数－外国法人等－個人,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
株主数－個人その他,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
株主数－その他の法人,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
本店の所在の場所、表紙,4042,4042,100,['FilingDateInstant'],1,['文字列']
自己資本比率、経営指標等,4042,4042,100,"['CurrentYearInstant', 'CurrentYearInstant_NonConsolidatedMember', 'Prior1YearInstant', 'Prior1YearInstant_NonConsolidatedMember', 'Prior2YearInstant', 'Prior2YearInstant_NonConsolidatedMember', 'Prior3YearInstant', 'Prior3YearInstant_NonConsolidatedMember', 'Prior4YearInstant', 'Prior4YearInstant_NonConsolidatedMember', 'Prior5YearInstant', 'Prior5YearInstant_NonConsolidatedMember']",12,"['数字', '文字列']"
比較対象会計期間終了日、DEI,4042,4042,100,['FilingDateInstant'],1,['文字列']
事業年度、表紙,4042,4042,100,['FilingDateInstant'],1,['文字列']
株主資本等変動計算書 [テキストブロック],4042,4042,100,"['CurrentYearDuration', 'Prior1YearDuration']",2,['文字列']
連結決算の有無、DEI,4042,4042,100,['FilingDateInstant'],1,['True or False']
氏名又は名称、大株主の状況,4042,4042,100,"['CurrentYearInstant', 'CurrentYearInstant_No10MajorShareholdersMember', 'CurrentYearInstant_No11MajorShareholdersMember', 'CurrentYearInstant_No12MajorShareholdersMember', 'CurrentYearInstant_No13MajorShareholdersMember', 'CurrentYearInstant_No14MajorShareholdersMember', 'CurrentYearInstant_No15MajorShareholdersMember', 'CurrentYearInstant_No16MajorShareholdersMember', 'CurrentYearInstant_No17MajorShareholdersMember', 'CurrentYearInstant_No18MajorShareholdersMember', 'CurrentYearInstant_No1MajorShareholdersMember', 'CurrentYearInstant_No2MajorShareholdersMember', 'CurrentYearInstant_No3MajorShareholdersMember', 'CurrentYearInstant_No4MajorShareholdersMember', 'CurrentYearInstant_No5MajorShareholdersMember', 'CurrentYearInstant_No6MajorShareholdersMember', 'CurrentYearInstant_No7MajorShareholdersMember', 'CurrentYearInstant_No8MajorShareholdersMember', 'CurrentYearInstant_No9MajorShareholdersMember', 'FilingDateInstant_No10MajorShareholdersMember', 'FilingDateInstant_No1MajorShareholdersMember', 'FilingDateInstant_No2MajorShareholdersMember', 'FilingDateInstant_No3MajorShareholdersMember', 'FilingDateInstant_No4MajorShareholdersMember', 'FilingDateInstant_No5MajorShareholdersMember', 'FilingDateInstant_No6MajorShareholdersMember', 'FilingDateInstant_No7MajorShareholdersMember', 'FilingDateInstant_No8MajorShareholdersMember', 'FilingDateInstant_No9MajorShareholdersMember', 'Prior1YearInstant_No10MajorShareholdersMember', 'Prior1YearInstant_No1MajorShareholdersMember', 'Prior1YearInstant_No2MajorShareholdersMember', 'Prior1YearInstant_No3MajorShareholdersMember', 'Prior1YearInstant_No4MajorShareholdersMember', 'Prior1YearInstant_No5MajorShareholdersMember', 'Prior1YearInstant_No6MajorShareholdersMember', 'Prior1YearInstant_No7MajorShareholdersMember', 'Prior1YearInstant_No8MajorShareholdersMember', 'Prior1YearInstant_No9MajorShareholdersMember', 'RecordDateInstant_No10MajorShareholdersMember', 'RecordDateInstant_No1MajorShareholdersMember', 'RecordDateInstant_No2MajorShareholdersMember', 'RecordDateInstant_No3MajorShareholdersMember', 'RecordDateInstant_No4MajorShareholdersMember', 'RecordDateInstant_No5MajorShareholdersMember', 'RecordDateInstant_No6MajorShareholdersMember', 'RecordDateInstant_No7MajorShareholdersMember', 'RecordDateInstant_No8MajorShareholdersMember', 'RecordDateInstant_No9MajorShareholdersMember']",49,['文字列']
